BITOLA,PA12,PA13,PA22,PA23,PB12,PB13,PB22,PB23,PC2,PC3,PD2,PD3,XA12,XA13,XA22,XA23,XB12,XB13,XB22,XB23,XC2,XC3,XD2,XD3,PE2,PE3,PF2,PFT3,PF3,PGH3,PGV3,XE2,XE3,XF2,XFT3,XF3,XGH3,XGV3
"1000,00",767,679,698,618,1012,906,827,738,1125,996,792,652,1014,908,923,826,1332,1173,1088,957,1515,1237,916,767,1292,1073,1346,1079,1296,1528,1448,1613,1336,"1683,0","1420,0","1511,0",1958,1849
"800,00",669,593,609,540,881,788,723,645,978,865,700,577,885,792,805,721,1158,1020,952,837,1311,1074,811,679,1118,930,1169,971,1119,1325,1251,1396,1159,"1460,0","1252,0","1328,0",1696,1595
"630,00",578,514,526,467,758,678,626,559,843,743,614,506,765,685,696,623,998,879,825,725,1122,923,711,596,958,798,1005,855,905,1138,1070,1196,995,"1254,0","1088,0","1151,0",1454,1362
"500,00",502,447,456,406,656,587,545,486,729,642,540,445,664,595,604,541,864,760,718,631,966,797,627,525,826,689,868,749,789,982,920,1030,859,"1083,0","946,0","998,0",1253,1169
"400,00",438,390,398,355,571,510,477,425,634,557,478,394,579,519,527,472,751,661,628,552,835,692,555,464,715,597,754,656,689,852,795,892,745,"940,0","823,0","868,0",1085,1008
"300,00",367,328,334,298,477,426,401,358,530,464,408,336,486,435,442,396,628,553,529,465,693,576,474,396,593,497,629,561,587,709,659,741,621,"783,0","703,0","736,0",902,833
"240,00",321,286,291,261,415,370,351,313,461,403,361,297,424,380,386,346,546,481,462,407,599,500,419,351,514,430,546,485,507,615,569,641,538,"679,0","607,0","634,0",781,719
"185,00",273,245,248,223,353,314,300,268,392,341,312,258,362,324,329,295,464,408,395,348,506,424,363,304,434,364,463,409,427,521,480,542,456,"575,0","510,0","533,0",661,605
"150,00",240,216,219,196,309,275,265,236,344,299,278,230,318,285,290,259,407,358,349,307,441,371,324,271,379,319,406,356,372,456,419,473,399,"504,0","444,0","464,0",577,527
"120,00",210,188,192,172,269,239,232,206,299,259,246,203,278,249,253,227,354,312,305,268,382,322,287,240,328,276,352,308,321,396,362,410,346,"437,0","383,0","400,0",500,454
"95,00",182,164,167,150,232,207,201,179,258,223,216,179,241,216,220,197,306,269,265,233,328,278,252,211,282,238,304,264,275,341,311,352,298,"377,0","328,0","342,0",430,389
"70,00",151,136,139,125,192,171,168,149,213,184,183,151,200,179,183,164,253,222,221,194,269,229,213,178,232,196,251,216,225,281,254,289,246,"310,0","268,0","279,0",353,318
"50,00",119,108,110,99,151,134,133,118,168,144,148,122,158,141,145,130,198,175,175,154,209,179,173,144,180,153,196,167,174,219,197,225,192,"242,0","207,0","216,0",275,246
"35,00",99,89,92,83,125,110,111,99,138,119,125,103,131,117,121,109,164,144,146,128,171,147,146,122,148,126,162,137,143,181,162,185,158,"200,0","169,0","176,0",226,201
"25,00",80,73,75,68,101,89,90,80,112,96,104,86,106,95,99,89,133,117,119,105,138,119,121,101,119,101,131,110,114,146,130,149,127,"161,0","135,0","141,0",182,161
"16,00",61,56,57,52,76,68,69,62,85,76,81,67,81,73,76,68,100,88,91,80,107,96,95,79,94,80,99,82,85,110,97,115,100,"121,0","101,0","105,0",137,120
"10,00",46,42,43,39,57,50,52,46,63,57,63,52,61,54,57,51,75,66,69,60,80,71,73,61,70,60,73,60,63,81,71,86,75,"90,0","74,0","77,0",101,88
"6,00",34,31,32,29,41,36,38,34,46,41,47,39,45,40,42,38,54,48,51,44,58,52,56,46,51,43,53,43,45,59,51,63,54,"65,0","53,0","55,0",73,63
"4,00",26,24,25,23,32,28,30,27,36,32,38,31,35,31,33,30,42,37,40,35,45,40,44,37,40,34,41,33,34,45,39,49,42,"50,0","40,0","42,0",56,48
"2,50","19,5",18,"18,5","17,5",24,21,23,20,27,24,29,24,26,23,25,22,31,28,30,26,33,30,34,29,30,25,31,24,25,34,29,36,32,"37,0","29,0","30,0",41,35
"1,50","14,5","13,5",14,13,"17,5","15,5","16,5",15,"19,5","17,5",22,18,19,17,"18,5","16,5",23,20,22,"19,5",24,22,26,22,22,"18,5",22,17,18,24,21,26,23,"27,0","21,0","22,0",30,25
"1,00",11,10,11,10,14,12,13,12,15,14,18,15,15,13,14,13,18,16,17,15,19,17,21,17,17,14,17,13,14,19,16,21,18,"21,0","16,0","17,0",23,19
"0,75",9,9,9,9,11,10,11,10,13,11,15,12,12,11,12,11,15,13,15,13,16,14,18,15,14,12,14,11,11,16,13,17,15,"17,0","13,0","14,0",19,16
"0,50",7,7,7,7,9,8,9,8,10,9,12,10,10,9,10,9,12,10,11,10,12,11,14,12,11,9,11,8,9,12,10,13,12,"13,0","10,0","10,0",15,12
